utt_id,session,pass,item_id,item_type,script_text,verbatim_text,was_corrected,wav_path,duration_sec,file,duration_s,f0_mean_hz,f0_median_hz,f0_sd_hz,f0_p10_hz,f0_p90_hz,f0_span_st,f0_floor_used,f0_ceiling_used,f0_n_frames,f0_window_s,f0_time_step_s,f0_octave_jump_cost,f0_shs_anchor_hz,f0_anchor_confidence,f0_octave_jump_rate,f0_frames_repaired,f0_frames_repaired_shs,f0_pct_voiced,f0_quality_flag,hnr_db,jitter_local_pct,shimmer_local_pct,shimmer_local_db,cpps_db,formant_ceiling_hz,formant_smoothness,f1_median_hz,f2_median_hz,f3_median_hz,formant_n_plausible_ceilings,formant_flag,shr_mean,shr_median,shr_p90,shr_doubling_rate,shr_octave_risk_rate,shr_n_frames,creak_sonorant_restricted,creak_low_f0_hz,creak_f0_irregularity_pct,creak_hnr_db,creak_period_doubling_shr,creak_doubling_rate,creak_subtype_hint,s_cog_mean_hz,s_cog_sd_hz,s_n,sh_cog_mean_hz,sh_cog_sd_hz,sh_n,h1_h2_db_mean,h1s_h2s_db_mean,h1_a3_db_mean,tilt_n_vowels,vot_mean_ms,vot_n,vot_k_mean_ms,vot_k_n,vot_kʰ_mean_ms,vot_kʰ_n,vot_t_mean_ms,vot_t_n,vot_tʰ_mean_ms,vot_tʰ_n,f0_tracking_failed
s01_A_modal_C001,s01,A_modal,C001,command,Set a timer for twelve minutes.,Set a timer for twelve minutes.,False,data/split/s01_A_modal_C001.wav,2.48,s01_A_modal_C001.wav,2.48,134.70283039169541,119.71946662491395,28.365845676888824,99.63079216183657,166.22559139488,8.861746931214803,84.06902391635843,243.18684981489707,85.0,0.07136992581202671,0.008921240726503339,0.35,118.18663370664198,0.6587544070963649,0.0,0.0,0.0,31.48148148148148,,4.799272688196776,3.0553470483522385,13.235504910328947,1.2791744897878563,6.834188806249407,5500.0,0.1965250563940842,760.8400162794701,1991.136789044089,2704.5814741698005,13,,0.31098881883255364,0.2842717892921133,0.5848903899749173,0.5102040816326531,0.3469387755102041,49,True,99.63079216183657,3.0553470483522385,4.799272688196776,0.2842717892921133,0.5102040816326531,multiply_pulsed;irregular_f0,7212.968781541769,1036.67172283784,2,,,0,-2.4131155666354855,-3.638141722184747,4.811078974736767,6,,0,,0,,0,,0,,0,False
s01_A_modal_C002,s01,A_modal,C002,command,Text Marcus that I'm running late.,Text Marcus that I'm running late.,False,data/split/s01_A_modal_C002.wav,2.63,s01_A_modal_C002.wav,2.63,122.23097420396464,118.53141849213463,31.929879221220176,70.30874870704704,165.8514814984464,14.857389303684815,62.642676168095605,211.88006185840402,93.0,0.09578134854742758,0.011972668568428447,0.8,118.20276036859981,0.9089579235750423,0.010869565217391304,0.0,0.0,43.867924528301884,,7.3647077701130375,2.3039633625154137,10.339269283533762,0.9395626754929038,8.221604668842982,4750.0,0.1434952789758274,601.9335121791974,1738.6653621546234,2532.1939760209934,13,,0.2414219913494246,0.1689573575133703,0.5974152925673795,0.25263157894736843,0.21052631578947367,95,True,70.30874870704704,2.3039633625154137,7.3647077701130375,0.1689573575133703,0.25263157894736843,,5961.529562017029,308.93024821911706,2,,,0,-1.1741335968991464,-3.3299341200156594,7.802826661090792,8,34.10076609738877,2,28.675585928849443,1,,0,39.52594626592809,1,,0,False
s01_A_modal_C003,s01,A_modal,C003,command,What's the weather in Newton tomorrow?,What's the weather in Newton tomorrow?,False,data/split/s01_A_modal_C003.wav,2.86,s01_A_modal_C003.wav,2.86,131.04208242325623,136.16744688702553,24.512443371532296,98.49929774327155,160.25891299574724,8.426631028690078,58.316350148298056,226.50661745647676,78.0,0.05144354871954472,0.01286088717988618,0.35,133.15785357540608,0.569334189968105,0.0,0.0,0.0,35.61643835616438,,6.036087877728553,2.914360638336448,12.510766975332674,1.265243140677991,6.603186075442295,4250.0,0.15224872938351394,486.1281869672432,1385.0331799613216,2312.5847740772842,13,,0.3149226620356203,0.2723185217115599,0.5863731874275667,0.4782608695652174,0.3804347826086957,92,True,98.49929774327155,2.914360638336448,6.036087877728553,0.2723185217115599,0.4782608695652174,,7450.415103536385,,1,,,0,-1.488986742277054,-3.385155479610956,8.06512377607195,8,54.66833801264093,1,,0,,0,54.66833801264093,1,,0,False
s01_A_modal_C004,s01,A_modal,C004,command,Play the new Noah Kahan album.,Play the new Noah Kahn album.,True,data/split/s01_A_modal_C004.wav,2.56,s01_A_modal_C004.wav,2.56,146.7628234591554,149.2098830347031,18.998821165325484,117.78363436017362,167.33767462586198,6.079478360993194,78.63552930999089,240.03490283674154,138.0,0.07630138758712064,0.00953767344839008,0.35,148.9258959875751,0.8342067625359506,0.0,0.0,0.0,52.87356321839081,,10.518990576381626,1.5572948350120934,10.226391133213223,0.9939039881801641,9.364162432983596,4250.0,0.15675203730120726,558.6773130232485,1409.3251845831358,2400.595285022637,13,,0.17233809909984935,0.10768244853926802,0.4079383003487689,0.19540229885057472,0.14942528735632185,87,True,117.78363436017362,1.5572948350120934,10.518990576381626,0.10768244853926802,0.19540229885057472,,,,0,,,0,-4.405397495894844,-11.0409680240011,13.04637410242849,6,,0,,0,,0,,0,,0,False
s01_A_modal_C005,s01,A_modal,C005,command,Remind me to email my advisor on Monday.,Remind me to email my advisor on Monday.,False,data/split/s01_A_modal_C005.wav,2.96,s01_A_modal_C005.wav,2.96,144.95754744312026,141.86465667750613,26.19791268349775,114.98785079212824,191.12052781433468,8.796015647888632,68.0816433133331,237.33786131094917,160.0,0.0881294826034988,0.01101618532543735,0.35,143.00949335734762,0.8784480328602475,0.0,1.0,1.0,61.30268199233716,,9.652888283370032,1.8212630759704247,10.846171990471664,0.9347618543917401,10.088437859982992,5000.0,0.19413182003515903,528.4776580025507,1708.6954366877762,2578.9545196513063,13,,0.19448622960659756,0.13846366249231185,0.3517624606367637,0.16339869281045752,0.10457516339869281,153,True,114.98785079212824,1.8212630759704247,9.652888283370032,0.13846366249231185,0.16339869281045752,,,,0,,,0,-3.4692833305445663,-7.374117261400381,12.991554890289034,10,,0,,0,,0,,0,,0,False
s01_A_modal_C006,s01,A_modal,C006,command,How long is the flight to Tokyo?,How long is the flight to Tokyo?,False,data/split/s01_A_modal_C006.wav,2.66,s01_A_modal_C006.wav,2.66,154.32302727677654,153.8360420431521,12.969774080499986,139.36931122148636,172.7001170307507,3.712273706706907,110.36683679540725,242.1705204443782,109.0,0.027182078304565854,0.006795519576141463,0.35,156.25953751501973,0.8334345769930673,0.0,0.0,0.0,28.09278350515464,,7.454991909724468,1.8323068727073917,14.447673868607167,1.3145418876639194,8.165448341982538,5250.0,0.1792640194578682,701.3546639277736,1891.768078238019,2606.184062821304,13,,0.20504802176863554,0.1392050546881258,0.46012858342795343,0.18461538461538463,0.15384615384615385,65,True,139.36931122148636,1.8323068727073917,7.454991909724468,0.1392050546881258,0.18461538461538463,,,,0,,,0,-4.083713969364103,-7.771069323471454,9.366447465052808,8,,0,,0,,0,,0,,0,False
s01_A_modal_C007,s01,A_modal,C007,command,Add oat milk to my grocery list.,Add oat milk to my grocery list.,False,data/split/s01_A_modal_C007.wav,3.08,s01_A_modal_C007.wav,3.08,140.69005269366494,142.04968657020555,20.424468592120636,110.46362493782402,169.19656616711146,7.381546956650594,95.32671661626506,231.77377110612213,152.0,0.0314707157289012,0.0078676789322253,0.35,141.91448055627222,0.9404028244405408,0.006622516556291391,0.0,0.0,39.175257731958766,,8.818062388419783,2.3865190329268824,10.936363199411984,1.0944699285023178,8.418514067250598,3750.0,0.15193411031553825,513.8198031056575,1411.6180039617561,2174.8675385856773,13,,0.22287429415945734,0.17843588731642276,0.4027031279228399,0.2702702702702703,0.1891891891891892,74,True,110.46362493782402,2.3865190329268824,8.818062388419783,0.17843588731642276,0.2702702702702703,,5312.837473786052,2.399892215879814,2,,,0,-4.843642401455943,-7.336789529410437,9.699359629225476,5,47.215569775804546,1,47.215569775804546,1,,0,,0,,0,False
s01_A_modal_C008,s01,A_modal,C008,command,Call the gelato shop on Orchard Street.,Call the gelato shop on Orchard Street.,False,data/split/s01_A_modal_C008.wav,2.7,s01_A_modal_C008.wav,2.7,134.38966273737884,140.12950559755,24.753198460535987,99.9211926754066,164.4734774363457,8.62790826094619,85.13349881847805,226.90236534467513,164.0,0.03523877253531669,0.008809693133829172,0.8,141.016049201453,0.8285875508966081,0.012269938650306749,3.0,2.0,54.12541254125413,,7.131870942563843,2.8047929688136204,14.184887238760846,1.301399069330536,8.389214173821486,3750.0,0.2013024503393996,508.72128450766263,1382.1112594504025,2200.3416959502165,13,,0.36162146273783824,0.2680611734800916,0.7333585370436855,0.4805194805194805,0.36363636363636365,77,True,99.9211926754066,2.8047929688136204,7.131870942563843,0.2680611734800916,0.4805194805194805,,6915.412715719921,,1,3880.9055351563275,,1,-3.0448150508068417,-5.216247667464734,7.624271549454607,6,,0,,0,,0,,0,,0,False
s01_A_modal_C009,s01,A_modal,C009,command,Turn off the bedroom lights.,Turn off the bedroom lights.,False,data/split/s01_A_modal_C009.wav,2.2,s01_A_modal_C009.wav,2.2,140.72124683165634,133.8063256564397,18.224532954193666,122.15734860359464,169.78271855886302,5.6993875980810795,95.29031773641417,344.0363969588653,128.0,0.03148273687467811,0.007870684218669528,0.8,133.96587142480692,0.8319632764487378,0.015748031496062992,3.0,0.0,46.3768115942029,,7.267465052447805,2.2326993797357435,12.05172406543169,1.1477944771920416,8.77321525657591,4750.0,0.18639537589234137,681.8583656137181,1624.3542902465954,2520.0343576214104,13,,0.2559821054443373,0.17865157256427677,0.5609860845226943,0.36764705882352944,0.27941176470588236,68,True,122.15734860359464,2.2326993797357435,7.267465052447805,0.17865157256427677,0.36764705882352944,,8043.57277920762,,1,,,0,0.07627120657811659,-1.7055970409081063,14.373176850312454,4,,0,,0,,0,,0,,0,False
s01_A_modal_C010,s01,A_modal,C010,command,What time does the library close today?,What time does the library close today?,False,data/split/s01_A_modal_C010.wav,2.42,s01_A_modal_C010.wav,2.42,137.43264829806913,127.98069568168037,40.4965194701631,102.69661827876756,185.8525580224441,10.269238435126573,61.29933858042449,330.8591756571401,86.0,0.0978803383355927,0.012235042291949088,0.35,129.33609205777216,0.9241586332828811,0.011764705882352941,0.0,0.0,45.26315789473684,,6.67596689596159,2.2129673694158485,13.993543789648335,1.2691715067879203,8.35665844399673,4250.0,0.19446488856575464,553.8022523417401,1434.6737815397987,2373.7600823995485,13,,0.3061583003109746,0.2009506462632665,0.6042614433921892,0.38028169014084506,0.323943661971831,71,True,102.69661827876756,2.2129673694158485,6.67596689596159,0.2009506462632665,0.38028169014084506,,5998.4943927966115,,1,,,0,-0.24704660613497254,-2.4232172233950173,3.283562201029632,4,,0,,0,,0,,0,,0,False
